month,hour,is_weekday,is_peak_hour,weighted_prod_rate
4,05:00,1,0,18.64
4,06:00,1,0,18.64
4,07:00,1,0,18.64
4,08:00,1,0,18.64
4,09:00,1,0,18.64
4,10:00,1,0,18.64
4,11:00,1,0,18.64
4,12:00,1,0,18.64
4,13:00,1,0,18.64
4,14:00,1,0,18.64
4,15:00,1,0,18.64
4,16:00,1,0,18.64
4,17:00,1,1,22.27
4,18:00,1,1,22.27
4,19:00,1,1,22.27
4,20:00,1,1,22.27
4,21:00,1,1,22.27
4,22:00,1,0,18.64
4,23:00,1,0,18.64
4,00:00,0,0,18.64
4,01:00,0,0,18.64
4,02:00,0,0,18.64
4,03:00,0,0,18.64
4,04:00,0,0,18.64
4,05:00,0,0,18.64
4,06:00,0,0,18.64
4,07:00,0,0,18.64
4,08:00,0,0,18.64
4,09:00,0,0,18.64
4,10:00,0,0,18.64
4,11:00,0,0,18.64
4,12:00,0,0,18.64
4,13:00,0,0,18.64
4,14:00,0,0,18.64
4,15:00,0,0,18.64
4,16:00,0,0,18.64
4,17:00,0,0,18.64
4,18:00,0,0,18.64
4,19:00,0,0,18.64
4,20:00,0,0,18.64
4,21:00,0,0,18.64
4,22:00,0,0,18.64
4,23:00,0,0,18.64
5,00:00,1,0,18.64
5,01:00,1,0,18.64
5,02:00,1,0,18.64
5,03:00,1,0,18.64
5,04:00,1,0,18.64
5,05:00,1,0,18.64
5,06:00,1,0,18.64
5,07:00,1,0,18.64
5,08:00,1,0,18.64
5,09:00,1,0,18.64
5,10:00,1,0,18.64
5,11:00,1,0,18.64
5,12:00,1,0,18.64
5,13:00,1,0,18.64
5,14:00,1,0,18.64
5,15:00,1,0,18.64
5,16:00,1,0,18.64
5,17:00,1,1,22.27
5,18:00,1,1,22.27
5,19:00,1,1,22.27
5,20:00,1,1,22.27
5,21:00,1,1,22.27
5,22:00,1,0,18.64
5,23:00,1,0,18.64
5,00:00,0,0,18.64
5,01:00,0,0,18.64
5,02:00,0,0,18.64
5,03:00,0,0,18.64
5,04:00,0,0,18.64
5,05:00,0,0,18.64
5,06:00,0,0,18.64
5,07:00,0,0,18.64
5,08:00,0,0,18.64
5,09:00,0,0,18.64
5,10:00,0,0,18.64
5,11:00,0,0,18.64
5,12:00,0,0,18.64
5,13:00,0,0,18.64
5,14:00,0,0,18.64
5,15:00,0,0,18.64
5,16:00,0,0,18.64
5,17:00,0,0,18.64
5,18:00,0,0,18.64
5,19:00,0,0,18.64
5,20:00,0,0,18.64
5,21:00,0,0,18.64
5,22:00,0,0,18.64
5,23:00,0,0,18.64
6,00:00,1,0,22.79
6,01:00,1,0,22.79
6,02:00,1,0,22.79
6,03:00,1,0,22.79
6,04:00,1,0,22.79
6,05:00,1,0,22.79
6,06:00,1,0,22.79
6,07:00,1,0,22.79
6,08:00,1,0,22.79
6,09:00,1,0,22.79
6,10:00,1,0,22.79
6,11:00,1,0,22.79
6,12:00,1,0,22.79
6,13:00,1,0,22.79
6,14:00,1,0,22.79
6,15:00,1,0,22.79
6,16:00,1,0,22.79
6,17:00,1,1,117.05
6,18:00,1,1,117.05
6,19:00,1,1,117.05
6,20:00,1,1,117.05
6,21:00,1,1,117.05
6,22:00,1,1,117.05
6,23:00,1,0,22.79
6,00:00,0,0,22.79
6,01:00,0,0,22.79
6,02:00,0,0,22.79
6,03:00,0,0,22.79
6,04:00,0,0,22.79
6,05:00,0,0,22.79
6,06:00,0,0,22.79
6,07:00,0,0,22.79
6,08:00,0,0,22.79
6,09:00,0,0,22.79
6,10:00,0,0,22.79
6,11:00,0,0,22.79
6,12:00,0,0,22.79
6,13:00,0,0,22.79
6,14:00,0,0,22.79
6,15:00,0,0,22.79
6,16:00,0,0,22.79
6,17:00,0,0,22.79
6,18:00,0,0,22.79
6,19:00,0,0,22.79
6,20:00,0,0,22.79
6,21:00,0,0,22.79
6,22:00,0,0,22.79
6,23:00,0,0,22.79
7,00:00,1,0,22.79
7,01:00,1,0,22.79
7,02:00,1,0,22.79
7,03:00,1,0,22.79
7,04:00,1,0,22.79
7,05:00,1,0,22.79
7,06:00,1,0,22.79
7,07:00,1,0,22.79
7,08:00,1,0,22.79
7,09:00,1,0,22.79
7,10:00,1,0,22.79
7,11:00,1,0,22.79
7,12:00,1,0,22.79
7,13:00,1,0,22.79
7,14:00,1,0,22.79
7,15:00,1,0,22.79
7,16:00,1,0,22.79
7,17:00,1,1,117.05
7,18:00,1,1,117.05
7,19:00,1,1,117.05
7,20:00,1,1,117.05
7,21:00,1,1,117.05
7,22:00,1,1,117.05
7,23:00,1,0,22.79
7,00:00,0,0,22.79
7,01:00,0,0,22.79
7,02:00,0,0,22.79
7,03:00,0,0,22.79
7,04:00,0,0,22.79
7,05:00,0,0,22.79
7,06:00,0,0,22.79
7,07:00,0,0,22.79
7,08:00,0,0,22.79
